ISO,Country,Subject Descriptor,Units,Scale,Country/Series-specific Notes,2023
EST,Estonia,"Inflation, average consumer prices",Percent change,,"See notes for:  Inflation, average consumer prices (Index).",9.5
EST,Estonia,Unemployment rate,Percent of total labor force,,Source: National Statistics Office Latest actual data: 2021 Employment type: Harmonized ILO definition Primary domestic currency: Euro Data last updated: 09/2022,6.825
EST,Estonia,General government revenue,Percent of GDP,,See notes for:  General government revenue (National currency).,39.155
EST,Estonia,General government net lending/borrowing,Percent of GDP,,See notes for:  General government net lending/borrowing (National currency).,-2.255
EST,Estonia,General government gross debt,Percent of GDP,,See notes for:  General government gross debt (National currency).,19.399
EST,Estonia,Current account balance,Percent of GDP,,"See notes for:  Gross domestic product, current prices (National currency) Current account balance (U.S. dollars).",0.146
SWZ,Eswatini,"Gross domestic product, constant prices",Percent change,,"See notes for:  Gross domestic product, constant prices (National currency).",1.789
SWZ,Eswatini,"Gross domestic product, current prices",Purchasing power parity; international dollars,Billions,"See notes for:  Gross domestic product, current prices (National currency).",13.414
SWZ,Eswatini,"Gross domestic product per capita, current prices",Purchasing power parity; international dollars,Units,"See notes for:  Gross domestic product, current prices (National currency) Population (Persons).","11,529.27"
SWZ,Eswatini,Output gap in percent of potential GDP,Percent of potential GDP,,,
SWZ,Eswatini,Total investment,Percent of GDP,,"Source: National Statistics Office. Updated methodology has been applied to the series. Prior to 2000, the data are adjusted using previous historical data as proxies to produce smooth series with the use of splicing technique. Historical data are updated on a continual basis as more information becomes available. Prior to 1990, trade data are calculated from external sector statistics. Latest actual data: 2020 National accounts manual used: System of National Accounts (SNA) 2008 GDP valuation: Market prices Reporting in calendar year: Yes Start/end months of reporting year: January/December Base year: 2011 Chain-weighted: No Primary domestic currency: Swazi lilangeni Data last updated: 09/2022",17.108
SWZ,Eswatini,Gross national savings,Percent of GDP,,"Source: National Statistics Office. Updated methodology has been applied to the series. Prior to 2000, the data are adjusted using previous historical data as proxies to produce smooth series with the use of splicing technique. Historical data are updated on a continual basis as more information becomes available. Prior to 1990, trade data are calculated from external sector statistics. Latest actual data: 2020 National accounts manual used: System of National Accounts (SNA) 2008 GDP valuation: Market prices Reporting in calendar year: Yes Start/end months of reporting year: January/December Base year: 2011 Chain-weighted: No Primary domestic currency: Swazi lilangeni Data last updated: 09/2022",17.192
SWZ,Eswatini,"Inflation, average consumer prices",Percent change,,"See notes for:  Inflation, average consumer prices (Index).",4.224
SWZ,Eswatini,Unemployment rate,Percent of total labor force,,,
SWZ,Eswatini,General government revenue,Percent of GDP,,See notes for:  General government revenue (National currency).,25.431
SWZ,Eswatini,General government net lending/borrowing,Percent of GDP,,See notes for:  General government net lending/borrowing (National currency).,-2.587
SWZ,Eswatini,General government gross debt,Percent of GDP,,See notes for:  General government gross debt (National currency).,44.106
SWZ,Eswatini,Current account balance,Percent of GDP,,"See notes for:  Gross domestic product, current prices (National currency) Current account balance (U.S. dollars).",0.084
ETH,Ethiopia,"Gross domestic product, constant prices",Percent change,,"See notes for:  Gross domestic product, constant prices (National currency).",5.29
ETH,Ethiopia,"Gross domestic product, current prices",Purchasing power parity; international dollars,Billions,"See notes for:  Gross domestic product, current prices (National currency).",379.298
ETH,Ethiopia,"Gross domestic product per capita, current prices",Purchasing power parity; international dollars,Units,"See notes for:  Gross domestic product, current prices (National currency) Population (Persons).","3,685.47"
ETH,Ethiopia,Output gap in percent of potential GDP,Percent of potential GDP,,,
ETH,Ethiopia,Total investment,Percent of GDP,,Source: National Statistics Office Latest actual data: FY2020/21 National accounts manual used: System of National Accounts (SNA) 2008 GDP valuation: Factor costs. Data refer to fiscal years (July/June). Data for 2011 represent fiscal year 2010/11. Reporting in calendar year: No. Fiscal year data are mapped to calendar year as follows: FY(t-1/t) = CY(t). Start/end months of reporting year: July/June Base year: FY2015/16 Chain-weighted: No Primary domestic currency: Ethiopian birr Data last updated: 09/2022,22.409
ETH,Ethiopia,Gross national savings,Percent of GDP,,Source: National Statistics Office Latest actual data: FY2020/21 National accounts manual used: System of National Accounts (SNA) 2008 GDP valuation: Factor costs. Data refer to fiscal years (July/June). Data for 2011 represent fiscal year 2010/11. Reporting in calendar year: No. Fiscal year data are mapped to calendar year as follows: FY(t-1/t) = CY(t). Start/end months of reporting year: July/June Base year: FY2015/16 Chain-weighted: No Primary domestic currency: Ethiopian birr Data last updated: 09/2022,18.382
ETH,Ethiopia,"Inflation, average consumer prices",Percent change,,"See notes for:  Inflation, average consumer prices (Index).",28.573
ETH,Ethiopia,Unemployment rate,Percent of total labor force,,,
ETH,Ethiopia,General government revenue,Percent of GDP,,See notes for:  General government revenue (National currency).,10.07
ETH,Ethiopia,General government net lending/borrowing,Percent of GDP,,See notes for:  General government net lending/borrowing (National currency).,-3.01
ETH,Ethiopia,General government gross debt,Percent of GDP,,See notes for:  General government gross debt (National currency).,40.368
ETH,Ethiopia,Current account balance,Percent of GDP,,"See notes for:  Gross domestic product, current prices (National currency) Current account balance (U.S. dollars).",-4.442
FJI,Fiji,"Gross domestic product, constant prices",Percent change,,"See notes for:  Gross domestic product, constant prices (National currency).",6.853
FJI,Fiji,"Gross domestic product, current prices",Purchasing power parity; international dollars,Billions,"See notes for:  Gross domestic product, current prices (National currency).",14.037
FJI,Fiji,"Gross domestic product per capita, current prices",Purchasing power parity; international dollars,Units,"See notes for:  Gross domestic product, current prices (National currency) Population (Persons).","15,344.99"
FJI,Fiji,Output gap in percent of potential GDP,Percent of potential GDP,,,
FJI,Fiji,Total investment,Percent of GDP,,Source: National Statistics Office. Fiji Islands Bureau of Statistics Latest actual data: 2021 National accounts manual used: System of National Accounts (SNA) 2008 GDP valuation: Factor costs Reporting in calendar year: Yes Start/end months of reporting year: January/December Base year: 2014 Chain-weighted: No Primary domestic currency: Fijian dollar Data last updated: 09/2022,20.135
FJI,Fiji,Gross national savings,Percent of GDP,,,
FJI,Fiji,"Inflation, average consumer prices",Percent change,,"See notes for:  Inflation, average consumer prices (Index).",3.5
FJI,Fiji,Unemployment rate,Percent of total labor force,,Source: National Statistics Office. 2012-2013 unemployment rate are missing since the authority didn't provide it. The numbers here are based on linear interpolation using 2011 and 2014 data. Latest actual data: 2019 Employment type: Not applicable Primary domestic currency: Fijian dollar Data last updated: 09/2022,5.5
FJI,Fiji,General government revenue,Percent of GDP,,See notes for:  General government revenue (National currency).,23.053
FJI,Fiji,General government net lending/borrowing,Percent of GDP,,See notes for:  General government net lending/borrowing (National currency).,-10.727
FJI,Fiji,General government gross debt,Percent of GDP,,See notes for:  General government gross debt (National currency).,91.101
FJI,Fiji,Current account balance,Percent of GDP,,"See notes for:  Gross domestic product, current prices (National currency) Current account balance (U.S. dollars).",-13.567
FIN,Finland,"Gross domestic product, constant prices",Percent change,,"See notes for:  Gross domestic product, constant prices (National currency).",0.467
FIN,Finland,"Gross domestic product, current prices",Purchasing power parity; international dollars,Billions,"See notes for:  Gross domestic product, current prices (National currency).",337.973
FIN,Finland,"Gross domestic product per capita, current prices",Purchasing power parity; international dollars,Units,"See notes for:  Gross domestic product, current prices (National currency) Population (Persons).","61,009.05"
FIN,Finland,Output gap in percent of potential GDP,Percent of potential GDP,,"See notes for:  Gross domestic product, constant prices (National currency).",-0.42
FIN,Finland,Total investment,Percent of GDP,,"Source: National Statistics Office. Downloaded through Haver Analytics Latest actual data: 2021 National accounts manual used: European System of Accounts (ESA) 2010 GDP valuation: Market prices Reporting in calendar year: Yes Start/end months of reporting year: January/December Base year: 2015 Chain-weighted: Yes, from 1980 Primary domestic currency: Euro Data last updated: 09/2022",24.011
FIN,Finland,Gross national savings,Percent of GDP,,"Source: National Statistics Office. Downloaded through Haver Analytics Latest actual data: 2021 National accounts manual used: European System of Accounts (ESA) 2010 GDP valuation: Market prices Reporting in calendar year: Yes Start/end months of reporting year: January/December Base year: 2015 Chain-weighted: Yes, from 1980 Primary domestic currency: Euro Data last updated: 09/2022",23.763
FIN,Finland,"Inflation, average consumer prices",Percent change,,"See notes for:  Inflation, average consumer prices (Index).",3.51
FIN,Finland,Unemployment rate,Percent of total labor force,,Source: National Statistics Office. Downloaded through Haver Analytics Latest actual data: 2021 Employment type: Harmonized ILO definition Primary domestic currency: Euro Data last updated: 09/2022,7.44
FIN,Finland,General government revenue,Percent of GDP,,See notes for:  General government revenue (National currency).,52.321
FIN,Finland,General government net lending/borrowing,Percent of GDP,,See notes for:  General government net lending/borrowing (National currency).,-1.727
FIN,Finland,General government gross debt,Percent of GDP,,See notes for:  General government gross debt (National currency).,67.407
FIN,Finland,Current account balance,Percent of GDP,,"See notes for:  Gross domestic product, current prices (National currency) Current account balance (U.S. dollars).",-0.248
FRA,France,"Gross domestic product, constant prices",Percent change,,"See notes for:  Gross domestic product, constant prices (National currency).",0.658
FRA,France,"Gross domestic product, current prices",Purchasing power parity; international dollars,Billions,"See notes for:  Gross domestic product, current prices (National currency).","3,844.87"
FRA,France,"Gross domestic product per capita, current prices",Purchasing power parity; international dollars,Units,"See notes for:  Gross domestic product, current prices (National currency) Population (Persons).","58,420.55"
FRA,France,Output gap in percent of potential GDP,Percent of potential GDP,,"See notes for:  Gross domestic product, constant prices (National currency).",-1.206
FRA,France,Total investment,Percent of GDP,,"Source: National Statistics Office Latest actual data: 2021 National accounts manual used: European System of Accounts (ESA) 2010 GDP valuation: Market prices Reporting in calendar year: Yes Start/end months of reporting year: January/December Base year: 2014 Chain-weighted: Yes, from 1980 Primary domestic currency: Euro Data last updated: 09/2022",23.572
FRA,France,Gross national savings,Percent of GDP,,"Source: National Statistics Office Latest actual data: 2021 National accounts manual used: European System of Accounts (ESA) 2010 GDP valuation: Market prices Reporting in calendar year: Yes Start/end months of reporting year: January/December Base year: 2014 Chain-weighted: Yes, from 1980 Primary domestic currency: Euro Data last updated: 09/2022",22.064
FRA,France,"Inflation, average consumer prices",Percent change,,"See notes for:  Inflation, average consumer prices (Index).",4.604
FRA,France,Unemployment rate,Percent of total labor force,,Source: National Statistics Office Latest actual data: 2021 Employment type: Harmonized ILO definition. Data prior to 1983 are not harmonized. Primary domestic currency: Euro Data last updated: 09/2022,7.555
FRA,France,General government revenue,Percent of GDP,,See notes for:  General government revenue (National currency).,52.087
FRA,France,General government net lending/borrowing,Percent of GDP,,See notes for:  General government net lending/borrowing (National currency).,-5.577
FRA,France,General government gross debt,Percent of GDP,,See notes for:  General government gross debt (National currency).,112.527
FRA,France,Current account balance,Percent of GDP,,"See notes for:  Gross domestic product, current prices (National currency) Current account balance (U.S. dollars).",-1.509
GAB,Gabon,"Gross domestic product, constant prices",Percent change,,"See notes for:  Gross domestic product, constant prices (National currency).",3.725
GAB,Gabon,"Gross domestic product, current prices",Purchasing power parity; international dollars,Billions,"See notes for:  Gross domestic product, current prices (National currency).",41.994
GAB,Gabon,"Gross domestic product per capita, current prices",Purchasing power parity; international dollars,Units,"See notes for:  Gross domestic product, current prices (National currency) Population (Persons).","19,198.28"
GAB,Gabon,Output gap in percent of potential GDP,Percent of potential GDP,,,
GAB,Gabon,Total investment,Percent of GDP,,Source: Ministry of Finance or Treasury Latest actual data: 2021 National accounts manual used: System of National Accounts (SNA) 1993 GDP valuation: Market prices Reporting in calendar year: Yes Start/end months of reporting year: January/December Base year: 2001 Chain-weighted: No Primary domestic currency: CFA franc Data last updated: 08/2022,32.11
GAB,Gabon,Gross national savings,Percent of GDP,,Source: Ministry of Finance or Treasury Latest actual data: 2021 National accounts manual used: System of National Accounts (SNA) 1993 GDP valuation: Market prices Reporting in calendar year: Yes Start/end months of reporting year: January/December Base year: 2001 Chain-weighted: No Primary domestic currency: CFA franc Data last updated: 08/2022,29.186
GAB,Gabon,"Inflation, average consumer prices",Percent change,,"See notes for:  Inflation, average consumer prices (Index).",3.201
GAB,Gabon,Unemployment rate,Percent of total labor force,,,
GAB,Gabon,General government revenue,Percent of GDP,,See notes for:  General government revenue (National currency).,17.511
GAB,Gabon,General government net lending/borrowing,Percent of GDP,,See notes for:  General government net lending/borrowing (National currency).,2.997
GAB,Gabon,General government gross debt,Percent of GDP,,See notes for:  General government gross debt (National currency).,52.448
GAB,Gabon,Current account balance,Percent of GDP,,"See notes for:  Gross domestic product, current prices (National currency) Current account balance (U.S. dollars).",-2.924
GMB,The Gambia,"Gross domestic product, constant prices",Percent change,,"See notes for:  Gross domestic product, constant prices (National currency).",5.979
GMB,The Gambia,"Gross domestic product, current prices",Purchasing power parity; international dollars,Billions,"See notes for:  Gross domestic product, current prices (National currency).",7.437
GMB,The Gambia,"Gross domestic product per capita, current prices",Purchasing power parity; international dollars,Units,"See notes for:  Gross domestic product, current prices (National currency) Population (Persons).","2,812.80"
GMB,The Gambia,Output gap in percent of potential GDP,Percent of potential GDP,,,
GMB,The Gambia,Total investment,Percent of GDP,,Source: National Statistics Office Latest actual data: 2020 National accounts manual used: System of National Accounts (SNA) 2008 GDP valuation: Market prices Reporting in calendar year: Yes Start/end months of reporting year: January/December Base year: 2013 Chain-weighted: No Primary domestic currency: Gambian dalasi Data last updated: 09/2022,23.936
GMB,The Gambia,Gross national savings,Percent of GDP,,Source: National Statistics Office Latest actual data: 2020 National accounts manual used: System of National Accounts (SNA) 2008 GDP valuation: Market prices Reporting in calendar year: Yes Start/end months of reporting year: January/December Base year: 2013 Chain-weighted: No Primary domestic currency: Gambian dalasi Data last updated: 09/2022,12.259
GMB,The Gambia,"Inflation, average consumer prices",Percent change,,"See notes for:  Inflation, average consumer prices (Index).",11.073
GMB,The Gambia,Unemployment rate,Percent of total labor force,,,
GMB,The Gambia,General government revenue,Percent of GDP,,See notes for:  General government revenue (National currency).,20.637
GMB,The Gambia,General government net lending/borrowing,Percent of GDP,,See notes for:  General government net lending/borrowing (National currency).,-2.686
GMB,The Gambia,General government gross debt,Percent of GDP,,See notes for:  General government gross debt (National currency).,73.099
GMB,The Gambia,Current account balance,Percent of GDP,,"See notes for:  Gross domestic product, current prices (National currency) Current account balance (U.S. dollars).",-11.677
GEO,Georgia,"Gross domestic product, constant prices",Percent change,,"See notes for:  Gross domestic product, constant prices (National currency).",3.996
GEO,Georgia,"Gross domestic product, current prices",Purchasing power parity; international dollars,Billions,"See notes for:  Gross domestic product, current prices (National currency).",79.245
GEO,Georgia,"Gross domestic product per capita, current prices",Purchasing power parity; international dollars,Units,"See notes for:  Gross domestic product, current prices (National currency) Population (Persons).","21,379.20"
GEO,Georgia,Output gap in percent of potential GDP,Percent of potential GDP,,,
GEO,Georgia,Total investment,Percent of GDP,,"Source: National Statistics Office Latest actual data: 2021 Notes: Data prior to 1996 cannot be confirmed by national sources. Data prior to 2010 are based on staff estimates. National accounts manual used: System of National Accounts (SNA) 2008 GDP valuation: Market prices Reporting in calendar year: Yes Start/end months of reporting year: January/December Base year: 2015 Chain-weighted: Yes, from 1996 Primary domestic currency: Georgian lari Data last updated: 09/2022",19.139
GEO,Georgia,Gross national savings,Percent of GDP,,"Source: National Statistics Office Latest actual data: 2021 Notes: Data prior to 1996 cannot be confirmed by national sources. Data prior to 2010 are based on staff estimates. National accounts manual used: System of National Accounts (SNA) 2008 GDP valuation: Market prices Reporting in calendar year: Yes Start/end months of reporting year: January/December Base year: 2015 Chain-weighted: Yes, from 1996 Primary domestic currency: Georgian lari Data last updated: 09/2022",12.332
GEO,Georgia,"Inflation, average consumer prices",Percent change,,"See notes for:  Inflation, average consumer prices (Index).",5.961
GEO,Georgia,Unemployment rate,Percent of total labor force,,Source: National Statistics Office Latest actual data: 2021 Employment type: Harmonized ILO definition Primary domestic currency: Georgian lari Data last updated: 09/2022,19.512
GEO,Georgia,General government revenue,Percent of GDP,,See notes for:  General government revenue (National currency).,25.539
GEO,Georgia,General government net lending/borrowing,Percent of GDP,,See notes for:  General government net lending/borrowing (National currency).,-2.51
GEO,Georgia,General government gross debt,Percent of GDP,,See notes for:  General government gross debt (National currency).,41.035
GEO,Georgia,Current account balance,Percent of GDP,,"See notes for:  Gross domestic product, current prices (National currency) Current account balance (U.S. dollars).",-6.807
DEU,Germany,"Gross domestic product, constant prices",Percent change,,"See notes for:  Gross domestic product, constant prices (National currency).",-0.294
DEU,Germany,"Gross domestic product, current prices",Purchasing power parity; international dollars,Billions,"See notes for:  Gross domestic product, current prices (National currency).","5,490.20"
DEU,Germany,"Gross domestic product per capita, current prices",Purchasing power parity; international dollars,Units,"See notes for:  Gross domestic product, current prices (National currency) Population (Persons).","65,865.26"
DEU,Germany,Output gap in percent of potential GDP,Percent of potential GDP,,"See notes for:  Gross domestic product, constant prices (National currency).",-1.294
DEU,Germany,Total investment,Percent of GDP,,"Source: National Statistics Office Latest actual data: 2021 Notes: Data until 1990 refers to German federation only (West Germany). National accounts data until 1990 do not include FISIM. Data from 1991 refer to United Germany and include FISIM. National accounts manual used: European System of Accounts (ESA) 2010 GDP valuation: Market prices Reporting in calendar year: Yes Start/end months of reporting year: January/December Base year: 2015 Chain-weighted: Yes, from 1991 Primary domestic currency: Euro Data last updated: 09/2022",21.315
DEU,Germany,Gross national savings,Percent of GDP,,"Source: National Statistics Office Latest actual data: 2021 Notes: Data until 1990 refers to German federation only (West Germany). National accounts data until 1990 do not include FISIM. Data from 1991 refer to United Germany and include FISIM. National accounts manual used: European System of Accounts (ESA) 2010 GDP valuation: Market prices Reporting in calendar year: Yes Start/end months of reporting year: January/December Base year: 2015 Chain-weighted: Yes, from 1991 Primary domestic currency: Euro Data last updated: 09/2022",26.572
DEU,Germany,"Inflation, average consumer prices",Percent change,,"See notes for:  Inflation, average consumer prices (Index).",7.187
DEU,Germany,Unemployment rate,Percent of total labor force,,Source: National Statistics Office Latest actual data: 2021 Notes: Data until 1990 refers to German federation only (West Germany). Data from 1991 refer to United Germany. Employment type: Harmonized ILO definition Primary domestic currency: Euro Data last updated: 09/2022,3.39
DEU,Germany,General government revenue,Percent of GDP,,See notes for:  General government revenue (National currency).,46.202
DEU,Germany,General government net lending/borrowing,Percent of GDP,,See notes for:  General government net lending/borrowing (National currency).,-2.491
DEU,Germany,General government gross debt,Percent of GDP,,See notes for:  General government gross debt (National currency).,68.322
DEU,Germany,Current account balance,Percent of GDP,,"See notes for:  Gross domestic product, current prices (National currency) Current account balance (U.S. dollars).",5.257
GHA,Ghana,"Gross domestic product, constant prices",Percent change,,"See notes for:  Gross domestic product, constant prices (National currency).",2.839
GHA,Ghana,"Gross domestic product, current prices",Purchasing power parity; international dollars,Billions,"See notes for:  Gross domestic product, current prices (National currency).",231.67
GHA,Ghana,"Gross domestic product per capita, current prices",Purchasing power parity; international dollars,Units,"See notes for:  Gross domestic product, current prices (National currency) Population (Persons).","7,041.21"
GHA,Ghana,Output gap in percent of potential GDP,Percent of potential GDP,,,
GHA,Ghana,Total investment,Percent of GDP,,Source: National Statistics Office Latest actual data: 2021 National accounts manual used: System of National Accounts (SNA) 2008 GDP valuation: Market prices Reporting in calendar year: Yes Start/end months of reporting year: January/December Base year: 2013 Chain-weighted: No Primary domestic currency: Ghanaian cedi Data last updated: 09/2022,19.477
GHA,Ghana,Gross national savings,Percent of GDP,,Source: National Statistics Office Latest actual data: 2021 National accounts manual used: System of National Accounts (SNA) 2008 GDP valuation: Market prices Reporting in calendar year: Yes Start/end months of reporting year: January/December Base year: 2013 Chain-weighted: No Primary domestic currency: Ghanaian cedi Data last updated: 09/2022,15.073
GHA,Ghana,"Inflation, average consumer prices",Percent change,,"See notes for:  Inflation, average consumer prices (Index).",20.941
GHA,Ghana,Unemployment rate,Percent of total labor force,,,
GHA,Ghana,General government revenue,Percent of GDP,,See notes for:  General government revenue (National currency).,14.738
GHA,Ghana,General government net lending/borrowing,Percent of GDP,,See notes for:  General government net lending/borrowing (National currency).,-8.55
GHA,Ghana,General government gross debt,Percent of GDP,,See notes for:  General government gross debt (National currency).,87.787
GHA,Ghana,Current account balance,Percent of GDP,,"See notes for:  Gross domestic product, current prices (National currency) Current account balance (U.S. dollars).",-4.404
GRC,Greece,"Gross domestic product, constant prices",Percent change,,"See notes for:  Gross domestic product, constant prices (National currency).",1.811
GRC,Greece,"Gross domestic product, current prices",Purchasing power parity; international dollars,Billions,"See notes for:  Gross domestic product, current prices (National currency).",408.893
GRC,Greece,"Gross domestic product per capita, current prices",Purchasing power parity; international dollars,Units,"See notes for:  Gross domestic product, current prices (National currency) Population (Persons).","38,607.64"
GRC,Greece,Output gap in percent of potential GDP,Percent of potential GDP,,"See notes for:  Gross domestic product, constant prices (National currency).",-0.538
GRC,Greece,Total investment,Percent of GDP,,"Source: National Statistics Office. Formally, the National Statistical Office (ELSTAT) Latest actual data: 2021 Notes: The National Statistical Office has significantly and repeatedly revised national accounts data over the course of the past several years. Official data are only available from 1995. Data prior to 1995 came from European Commission Macro Forecasts (AMECO database). National accounts manual used: European System of Accounts (ESA) 2010 GDP valuation: Market prices Reporting in calendar year: Yes Start/end months of reporting year: January/December Base year: 2015 Chain-weighted: Yes, from 1995 Primary domestic currency: Euro Data last updated: 09/2022",19.353
GRC,Greece,Gross national savings,Percent of GDP,,"Source: National Statistics Office. Formally, the National Statistical Office (ELSTAT) Latest actual data: 2021 Notes: The National Statistical Office has significantly and repeatedly revised national accounts data over the course of the past several years. Official data are only available from 1995. Data prior to 1995 came from European Commission Macro Forecasts (AMECO database). National accounts manual used: European System of Accounts (ESA) 2010 GDP valuation: Market prices Reporting in calendar year: Yes Start/end months of reporting year: January/December Base year: 2015 Chain-weighted: Yes, from 1995 Primary domestic currency: Euro Data last updated: 09/2022",13.019
GRC,Greece,"Inflation, average consumer prices",Percent change,,"See notes for:  Inflation, average consumer prices (Index).",3.199
GRC,Greece,Unemployment rate,Percent of total labor force,,"Source: National Statistics Office. Formally, the National Statistical Office (ELSTAT) Latest actual data: 2021 Notes: The historical data source for unit labor costs in manufacturing is eurostat. Employment type: National definition Primary domestic currency: Euro Data last updated: 09/2022",12.185
GRC,Greece,General government revenue,Percent of GDP,,See notes for:  General government revenue (National currency).,45.904
GRC,Greece,General government net lending/borrowing,Percent of GDP,,See notes for:  General government net lending/borrowing (National currency).,-1.876
GRC,Greece,General government gross debt,Percent of GDP,,See notes for:  General government gross debt (National currency).,169.848
GRC,Greece,Current account balance,Percent of GDP,,"See notes for:  Gross domestic product, current prices (National currency) Current account balance (U.S. dollars).",-6.334
GRD,Grenada,"Gross domestic product, constant prices",Percent change,,"See notes for:  Gross domestic product, constant prices (National currency).",3.598
GRD,Grenada,"Gross domestic product, current prices",Purchasing power parity; international dollars,Billions,"See notes for:  Gross domestic product, current prices (National currency).",2.251
GRD,Grenada,"Gross domestic product per capita, current prices",Purchasing power parity; international dollars,Units,"See notes for:  Gross domestic product, current prices (National currency) Population (Persons).","19,671.24"
GRD,Grenada,Output gap in percent of potential GDP,Percent of potential GDP,,,
GRD,Grenada,Total investment,Percent of GDP,,Source: National Statistics Office Latest actual data: 2021 Notes: Historical values for expenditure based GDP components are not reported by authorities and are estimated by IMF staff using data from balance of payments and fiscal accounts. GDP expenditure component estimates prior 2014 have been removed due to internal inconsistencies arising from methodological changes to international trade estimates from the balance of payments applicable to data reported after 2014. National accounts manual used: System of National Accounts (SNA) 1993 GDP valuation: Market prices Reporting in calendar year: Yes Start/end months of reporting year: January/December Base year: 2006 Chain-weighted: No Primary domestic currency: Eastern Caribbean dollar Data last updated: 09/2022,24.944
GRD,Grenada,Gross national savings,Percent of GDP,,Source: National Statistics Office Latest actual data: 2021 Notes: Historical values for expenditure based GDP components are not reported by authorities and are estimated by IMF staff using data from balance of payments and fiscal accounts. GDP expenditure component estimates prior 2014 have been removed due to internal inconsistencies arising from methodological changes to international trade estimates from the balance of payments applicable to data reported after 2014. National accounts manual used: System of National Accounts (SNA) 1993 GDP valuation: Market prices Reporting in calendar year: Yes Start/end months of reporting year: January/December Base year: 2006 Chain-weighted: No Primary domestic currency: Eastern Caribbean dollar Data last updated: 09/2022,5.156
GRD,Grenada,"Inflation, average consumer prices",Percent change,,"See notes for:  Inflation, average consumer prices (Index).",3.532
GRD,Grenada,Unemployment rate,Percent of total labor force,,,
GRD,Grenada,General government revenue,Percent of GDP,,See notes for:  General government revenue (National currency).,29.972
GRD,Grenada,General government net lending/borrowing,Percent of GDP,,See notes for:  General government net lending/borrowing (National currency).,1.799
GRD,Grenada,General government gross debt,Percent of GDP,,See notes for:  General government gross debt (National currency).,66.301
GRD,Grenada,Current account balance,Percent of GDP,,"See notes for:  Gross domestic product, current prices (National currency) Current account balance (U.S. dollars).",-19.788
GTM,Guatemala,"Gross domestic product, constant prices",Percent change,,"See notes for:  Gross domestic product, constant prices (National currency).",3.2
GTM,Guatemala,"Gross domestic product, current prices",Purchasing power parity; international dollars,Billions,"See notes for:  Gross domestic product, current prices (National currency).",198.629
GTM,Guatemala,"Gross domestic product per capita, current prices",Purchasing power parity; international dollars,Units,"See notes for:  Gross domestic product, current prices (National currency) Population (Persons).","10,402.76"
GTM,Guatemala,Output gap in percent of potential GDP,Percent of potential GDP,,,
GTM,Guatemala,Total investment,Percent of GDP,,"Source: Central Bank. Also use data from Haver. Latest actual data: 2021 National accounts manual used: System of National Accounts (SNA) 2008 GDP valuation: Market prices Reporting in calendar year: Yes Start/end months of reporting year: January/December Base year: 2013 Chain-weighted: Yes, from 2001 Primary domestic currency: Guatemalan quetzal Data last updated: 09/2022",13.408
GTM,Guatemala,Gross national savings,Percent of GDP,,"Source: Central Bank. Also use data from Haver. Latest actual data: 2021 National accounts manual used: System of National Accounts (SNA) 2008 GDP valuation: Market prices Reporting in calendar year: Yes Start/end months of reporting year: January/December Base year: 2013 Chain-weighted: Yes, from 2001 Primary domestic currency: Guatemalan quetzal Data last updated: 09/2022",14.163
GTM,Guatemala,"Inflation, average consumer prices",Percent change,,"See notes for:  Inflation, average consumer prices (Index).",5.619
GTM,Guatemala,Unemployment rate,Percent of total labor force,,,
GTM,Guatemala,General government revenue,Percent of GDP,,See notes for:  General government revenue (National currency).,12.022
GTM,Guatemala,General government net lending/borrowing,Percent of GDP,,See notes for:  General government net lending/borrowing (National currency).,-2.055
GTM,Guatemala,General government gross debt,Percent of GDP,,See notes for:  General government gross debt (National currency).,29.998
GTM,Guatemala,Current account balance,Percent of GDP,,"See notes for:  Gross domestic product, current prices (National currency) Current account balance (U.S. dollars).",0.755
GIN,Guinea,"Gross domestic product, constant prices",Percent change,,"See notes for:  Gross domestic product, constant prices (National currency).",5.111
GIN,Guinea,"Gross domestic product, current prices",Purchasing power parity; international dollars,Billions,"See notes for:  Gross domestic product, current prices (National currency).",47.811
GIN,Guinea,"Gross domestic product per capita, current prices",Purchasing power parity; international dollars,Units,"See notes for:  Gross domestic product, current prices (National currency) Population (Persons).","3,178.68"
GIN,Guinea,Output gap in percent of potential GDP,Percent of potential GDP,,,
GIN,Guinea,Total investment,Percent of GDP,,Source: National Statistics Office Latest actual data: 2020. No quarterly data produced Notes: Data prior to 1995 cannot be confirmed by national sources at this time. National accounts manual used: System of National Accounts (SNA) 1993 GDP valuation: Market prices Reporting in calendar year: Yes Start/end months of reporting year: January/December Base year: 2010 Chain-weighted: No Primary domestic currency: Guinean franc Data last updated: 08/2022,14.795
GIN,Guinea,Gross national savings,Percent of GDP,,Source: National Statistics Office Latest actual data: 2020. No quarterly data produced Notes: Data prior to 1995 cannot be confirmed by national sources at this time. National accounts manual used: System of National Accounts (SNA) 1993 GDP valuation: Market prices Reporting in calendar year: Yes Start/end months of reporting year: January/December Base year: 2010 Chain-weighted: No Primary domestic currency: Guinean franc Data last updated: 08/2022,6.837
GIN,Guinea,"Inflation, average consumer prices",Percent change,,"See notes for:  Inflation, average consumer prices (Index).",12.2
GIN,Guinea,Unemployment rate,Percent of total labor force,,,
GIN,Guinea,General government revenue,Percent of GDP,,See notes for:  General government revenue (National currency).,12.689
GIN,Guinea,General government net lending/borrowing,Percent of GDP,,See notes for:  General government net lending/borrowing (National currency).,-2.787
